Time,Avg_Projection
20000.0,-0.2684862957924102
11200.0,-0.05277016136078551
4400.0,-0.12142456191760798
11600.0,-0.03474448941623305
14000.0,0.09241798795517454
12000.0,-0.207640278187219
13200.0,-0.013189107558083913
18800.0,-0.2393576842925883
8800.0,-0.13659622169303212
9200.0,-0.1754934144859643
8400.0,-0.0395967937212045
4000.0,-0.07837063755087464
14400.0,-0.12777818825140083
16400.0,0.2914110070354697
3200.0,-0.15111772623345754
7600.0,0.2879171024680132
12800.0,-0.30709521723730454
5200.0,0.07524971881297453
1200.0,-0.10930760667837479
17200.0,-0.03358271304532571
8000.0,-0.0676156635624727
13600.0,-0.13753925783388488
18400.0,-0.41827940799706875
9600.0,-0.24914224225183496
16800.0,-0.2607672913713552
15200.0,0.22359208587563867
10800.0,0.024294975985944985
19600.0,0.18351402174883366
10000.0,-0.030445961301514998
5600.0,-0.017561185158760515
14800.0,-0.07678243064723851
19200.0,0.21364527558660656
6000.0,-0.11123684834249255
0.0,0.01770620286450253
7200.0,0.04957123012156432
2000.0,0.3432336595186001
2400.0,-0.06351624912957371
10400.0,-0.2797588581870995
17600.0,-0.062243331000206924
6800.0,0.006904595295262926
6400.0,-0.1212679329699812
4800.0,0.23418874815404983
12400.0,0.02346519209554319
1600.0,-0.021467192158945558
16000.0,-0.1356200742571007
18000.0,0.21195268421541957
3600.0,-0.22865983332738563
2800.0,0.18468892288305996
15600.0,0.2898151439978376
800.0,-0.10499689053938521
400.0,0.14813430914052417
