Time,Avg_Projection
20000.0,-0.574707282609355
11200.0,-0.13216011483994708
4400.0,0.06317774756526823
11600.0,0.07217410577596667
14000.0,0.3034091306669283
12000.0,-0.12893698805961779
13200.0,0.2904069742598062
18800.0,0.08034484911212296
8800.0,0.6052586528645618
9200.0,0.3045667279387734
8400.0,0.2669274668886675
4000.0,0.00681146359556087
14400.0,0.06158649352072361
16400.0,0.11491608610563497
3200.0,0.1237054554069285
7600.0,0.0950603000001252
12800.0,0.17137598471607715
5200.0,0.2900664795804223
1200.0,0.16936922297705695
17200.0,-0.22209687478586942
8000.0,0.05791862457729161
13600.0,-0.10567640945812642
18400.0,0.005779591472562718
9600.0,0.029107834111124015
16800.0,0.010698167504205726
15200.0,-0.29979912401396674
10800.0,-0.03221590543343109
19600.0,0.07609675085887682
10000.0,0.2175820595563988
5600.0,-0.024595139619201407
14800.0,-0.16434075001609608
19200.0,-0.07303838616642908
6000.0,0.2957513987524648
0.0,-0.109553649645041
7200.0,0.2995358073218369
2000.0,-0.07164718825750249
2400.0,-0.07407511877757489
10400.0,-0.2803655015457123
17600.0,0.004103717020997227
6800.0,-0.009027239998027755
6400.0,0.33244066629709623
4800.0,0.1924670507377325
12400.0,-0.0014265126737876307
1600.0,0.10213088670421247
16000.0,-0.3044399383962275
18000.0,-0.05393772625144106
3600.0,0.24692156744181173
2800.0,-0.10735187210939093
15600.0,-0.26180762530079993
800.0,-0.05649005297200638
400.0,-0.022042708903268485
