Time,Magnitude_Projections
1600,-2.1973237125635268
1600,0.3995853314800747
1600,-0.14401942626744849
1600,0.6034699691075962
1600,4.2635312351977595
2400,-1.414595400474417
2800,3.6605046386691065
2800,0.7091100303153877
2800,-0.6799643441993244
3200,2.1093035347816596
8800,3.2313705626243956
10800,-0.03513415996221883
11200,-3.706957633237382
13200,-1.9012498003780625
13600,1.8534499648394933
14800,-6.048720644891869
15600,0.16624055172244623
16000,-1.2230734052797438
16400,-0.7715213915266319
17600,1.9863158353274972
