Time,Magnitude_Projections
0,-4.241700956213295
0,1.6736988476212682
0,2.414236087037662
0,-2.673654494626741
400,1.4513119648604518
800,-3.385296983964491
800,-5.337841806958255
1200,0.4467438048149695
1200,2.1286085768663074
1600,1.0083861635253133
2000,-0.12068787589334111
2400,-5.0768393525777125
2800,-1.6148933829826213
2800,-0.20194771972204628
5200,3.08183662063566
5600,5.266909624667323
6000,-3.3945183130805847
6000,-1.5829352271205404
6400,-0.9855440464485531
6400,3.2700280226792913
8000,-1.2642842316522045
8000,3.807860838312067
8400,0.801944119086883
8800,-0.2075767102096013
9200,-7.13244079479209
9200,-6.840529494246548
9200,-4.619566919560918
9600,-2.397133931535153
9600,-2.1101474613307185
9600,5.350076752225802
9600,5.222843276772901
10000,-0.04078012611486468
10000,0.2224228303441409
10000,-0.2427878218071172
10000,0.5479077589558733
10400,-3.9931969830136964
10800,6.188410415354646
10800,-4.9849553574515335
10800,4.230626624046718
10800,1.7807514144132166
11200,-0.09600467274321275
12000,-3.9290963602035416
12800,-4.587802328184506
12800,-1.2194638764861236
13200,2.1015557472593223
13200,-4.077611740041185
13600,-0.5869876586740143
13600,6.142263294832034
13600,0.47965494041203177
14000,-2.3214865112959173
14400,-0.8851961930460813
14400,-3.7923166949425973
15200,-0.4573704992142544
15200,7.8539508115626
15600,-1.1753060810925613
15600,8.651521843898964
15600,0.18610835605748005
16000,-4.843587996219554
17200,5.4820394077203805
17200,4.589711455496627
17600,0.338104090737443
17600,2.4200086822097346
17600,6.693980456878873
18000,4.260709270114875
18000,1.5344554565101947
18400,-3.8306588890664743
18400,-2.2053851928761206
18800,-0.35641255561760204
18800,0.21804927132774674
18800,3.0690612950622587
18800,4.809891815943039
19200,3.276202789903482
19600,3.021557567639705
19600,-4.330982599711192
19600,2.8235577538473384
20000,-3.7144228428230135
