Time,Avg_Projection
20000.0,0.22787771829134676
11200.0,0.08387408454257073
4400.0,-0.2865707489480333
11600.0,-0.016930643268346632
14000.0,0.05635254997867274
12000.0,0.10275956326927718
13200.0,-0.03492199107652472
18800.0,0.18259376454550397
8800.0,-0.07130230705301473
9200.0,-0.07517765749008656
8400.0,-0.08043506627751704
4000.0,-0.12891912317788898
14400.0,0.10293192065855691
16400.0,-0.20185463677048743
3200.0,-0.009754072987669105
7600.0,0.13004947429018854
12800.0,-0.043618457314705504
5200.0,-0.028282934949399773
1200.0,0.0697934820148611
17200.0,-0.18703560317467383
8000.0,-0.04574881288700162
13600.0,0.11155264803081531
18400.0,0.010870973805794116
9600.0,-0.05551835192312342
16800.0,-0.43129037963310113
15200.0,-0.13132282571988796
10800.0,0.1167091479653043
19600.0,0.04115744533532588
10000.0,-0.03709930127344188
5600.0,0.09749192819065461
14800.0,0.22688668823484842
19200.0,-0.08184477215110907
6000.0,-0.18214192316917768
0.0,0.29264760924525945
7200.0,0.046136738081746884
2000.0,-0.030834708401364534
2400.0,0.3546007738549886
10400.0,0.303163250782997
17600.0,-0.06702174302764069
6800.0,0.04880117563889053
6400.0,0.08291962190987107
4800.0,-0.2844317283264825
12400.0,-0.37402786451954206
1600.0,0.04284270893549197
16000.0,-0.1039951505432613
18000.0,-0.15203971091911675
3600.0,0.17333710194278407
2800.0,0.004400364188509955
15600.0,0.13654935306941093
800.0,0.0122189609189685
400.0,-0.23147070998765973
