Time,Avg_Projection
20000.0,0.11316891426156861
11200.0,0.03224155894744316
4400.0,-0.06066185873949401
11600.0,0.13924061238088212
14000.0,0.10470505358810754
12000.0,-0.0609445578477072
13200.0,-0.07862906579165857
18800.0,-0.04337496689267505
8800.0,-0.07801685774570305
9200.0,-0.15042396320792273
8400.0,-0.2710649077599387
4000.0,-0.1274081913779939
14400.0,0.024122050326127117
16400.0,0.05269134934130541
3200.0,0.221365795310271
7600.0,-0.43612858089520723
12800.0,-0.2111908673859997
5200.0,0.12250499782856812
1200.0,-0.16947640190053045
17200.0,-0.04055321072660789
8000.0,0.19396769897667773
13600.0,-0.3471650562586464
18400.0,0.18028629238701507
9600.0,0.0045078791307880456
16800.0,0.10870976255742502
15200.0,-0.18852811320357488
10800.0,-0.17309951005880705
19600.0,0.028853278346450562
10000.0,0.14012995277422985
5600.0,0.07920624562717496
14800.0,0.2646400533904213
19200.0,-0.036347954149221866
6000.0,0.12450374938427133
0.0,-0.19048120345549072
7200.0,-0.20664792813707442
2000.0,0.13448150943064993
2400.0,-0.036650527835496834
10400.0,0.27285539045961277
17600.0,0.10438169216357891
6800.0,-0.08305807920207237
6400.0,0.10278918078113046
4800.0,-0.00963272911171313
12400.0,0.15391179718330492
1600.0,-0.1933385136483008
16000.0,-0.30005870564555137
18000.0,-0.4836278856037258
3600.0,0.07117940163485782
2800.0,-0.060271449512758854
15600.0,0.05068562228336909
800.0,0.04617917754360432
400.0,-0.06134347966422258
